Open,High,Low,Close,TickVolume,Spread,datetime,Target_Close,Returns,Volatility,High_Low_Range,RSI,Cluster
3289.25,3290.21,3271.43,3274.02,5132,7,2025-05-01 01:00:00,3272.69,-0.0035917385569454005,0.3539764697088506,18.7800000000002,51.780589316365976,1
3274.28,3285.1,3269.83,3272.69,4855,7,2025-05-01 02:00:00,3246.51,-0.04062284286595608,0.3539764697088506,15.269999999999982,51.780589316365976,1
3273.13,3276.33,3241.21,3246.51,8490,7,2025-05-01 03:00:00,3238.92,-0.799953555026589,0.536927895731994,35.11999999999989,51.780589316365976,3
3246.51,3251.34,3234.38,3238.92,6694,7,2025-05-01 04:00:00,3241.58,-0.23378951551050742,0.39463869836685395,16.960000000000036,51.780589316365976,1
3238.95,3251.74,3235.17,3241.58,5156,7,2025-05-01 05:00:00,3229.51,0.08212614081235525,0.3902320696508037,16.56999999999971,51.780589316365976,1
3241.51,3242.56,3228.94,3229.51,6438,7,2025-05-01 06:00:00,3226.63,-0.3723492864590616,0.34249141494367047,13.61999999999989,51.780589316365976,2
3229.57,3231.98,3221.32,3226.63,5705,7,2025-05-01 07:00:00,3236.64,-0.08917761518001388,0.3153839545025957,10.659999999999854,51.780589316365976,2
3226.63,3238.83,3223.44,3236.64,6486,7,2025-05-01 08:00:00,3235.75,0.31023079807723786,0.3556700995043024,15.389999999999873,51.780589316365976,1
3236.67,3243.19,3233.87,3235.75,7645,5,2025-05-01 09:00:00,3230.12,-0.027497651885899366,0.332771717712745,9.320000000000164,51.780589316365976,2
3235.78,3236.96,3226.09,3230.12,6947,5,2025-05-01 10:00:00,3235.24,-0.17399366452909293,0.3114155068233265,10.86999999999989,51.780589316365976,2
3230.14,3236.76,3229.97,3235.24,5135,5,2025-05-01 11:00:00,3218.51,0.1585080430448471,0.3093343891914399,6.790000000000418,51.780589316365976,2
3235.24,3236.21,3215.28,3218.51,6597,5,2025-05-01 12:00:00,3223.02,-0.5171177408785588,0.3171010566425286,20.929999999999836,51.780589316365976,2
3218.48,3225.35,3213.57,3223.02,7233,5,2025-05-01 13:00:00,3205.58,0.14012695315532842,0.31410845823118416,11.779999999999745,51.780589316365976,2
3222.96,3227.09,3203.5,3205.58,7645,5,2025-05-01 14:00:00,3226.9,-0.5411074085795331,0.32159654197122206,23.590000000000146,19.727530077848158,3
3205.54,3232.65,3202.04,3226.9,11857,5,2025-05-01 15:00:00,3225.0,0.6650902488785304,0.3798931243608752,30.610000000000127,32.46501935099721,3
3226.83,3233.4,3218.9,3225.0,11448,5,2025-05-01 16:00:00,3219.17,-0.05888003966655342,0.36624996329128373,14.5,32.3278737122951,3
3225.07,3231.54,3214.39,3219.17,13145,5,2025-05-01 17:00:00,3216.46,-0.18077519379844365,0.35440837410556986,17.15000000000009,38.06947111188673,3
3219.17,3221.86,3205.02,3216.46,9627,5,2025-05-01 18:00:00,3219.64,-0.08418319007694741,0.34319139007172544,16.840000000000146,39.76298997265257,2
3216.46,3220.76,3209.03,3219.64,8025,7,2025-05-01 19:00:00,3214.69,0.09886645566865582,0.3363514714883701,11.730000000000018,40.04717837053154,2
3219.64,3220.95,3209.86,3214.69,6494,7,2025-05-01 20:00:00,3223.91,-0.15374389683318057,0.32717697759648323,11.08999999999969,42.812803103782585,2
3214.58,3226.91,3212.95,3223.91,5641,7,2025-05-01 21:00:00,3228.22,0.28680837032497575,0.32973679958330326,13.960000000000036,48.75730994152033,2
3223.91,3229.82,3223.91,3228.22,4845,7,2025-05-01 22:00:00,3237.89,0.13368859552531642,0.3246463443170195,5.910000000000309,45.94177752072481,2
3228.26,3239.49,3228.1,3237.89,3800,7,2025-05-01 23:00:00,3237.97,0.2995458797727668,0.32629562947985924,11.389999999999873,50.950942054745774,2
3238.74,3243.3,3232.66,3237.97,3256,7,2025-05-02 01:00:00,3237.35,0.002470744836902128,0.3189806822247523,10.640000000000327,53.66925306160604,2
3238.0,3241.55,3234.78,3237.35,2815,7,2025-05-02 02:00:00,3231.41,-0.019147799392826848,0.3120234708586505,6.769999999999982,51.029569630135725,2
3237.54,3244.36,3227.46,3231.41,6518,7,2025-05-02 03:00:00,3236.42,-0.18348340463650858,0.31326761480036275,16.90000000000009,57.03534031413597,2
3231.31,3237.52,3231.31,3236.42,6399,7,2025-05-02 04:00:00,3248.16,0.15504067883680417,0.27213707072626636,6.210000000000036,57.26838793664575,2
3236.5,3249.26,3235.9,3248.16,5838,7,2025-05-02 05:00:00,3254.98,0.36274649149368177,0.2782317944678323,13.360000000000127,74.61840888066612,2
