Date,Time,Open,High,Low,Close,TickVolume,Volume,Spread,datetime,Target_Close
2025.05.06,23:00:00,3423.08,3434.74,3419.32,3430.46,5750,0,7,2025-05-06 23:00:00,3381.92
2025.05.07,01:00:00,3438.27,3438.27,3380.78,3381.92,10699,0,7,2025-05-07 01:00:00,3400.8
2025.05.07,02:00:00,3382.0,3404.52,3377.17,3400.8,7479,0,7,2025-05-07 02:00:00,3379.76
2025.05.07,03:00:00,3400.84,3401.47,3361.0,3379.76,12426,0,7,2025-05-07 03:00:00,3374.76
2025.05.07,04:00:00,3379.48,3385.08,3360.26,3374.76,12068,0,7,2025-05-07 04:00:00,3390.61
2025.05.07,05:00:00,3374.74,3393.71,3372.04,3390.61,9102,0,7,2025-05-07 05:00:00,3375.58
2025.05.07,06:00:00,3390.61,3392.54,3370.1,3375.58,6348,0,7,2025-05-07 06:00:00,3382.12
2025.05.07,07:00:00,3375.58,3387.46,3375.26,3382.12,5213,0,7,2025-05-07 07:00:00,3387.9
2025.05.07,08:00:00,3382.12,3389.44,3378.63,3387.9,6199,0,7,2025-05-07 08:00:00,3392.51
2025.05.07,09:00:00,3387.98,3395.88,3387.45,3392.51,6974,0,5,2025-05-07 09:00:00,3387.91
2025.05.07,10:00:00,3392.49,3397.49,3383.79,3387.91,7115,0,5,2025-05-07 10:00:00,3382.81
2025.05.07,11:00:00,3387.92,3388.66,3378.29,3382.81,7098,0,5,2025-05-07 11:00:00,3370.08
2025.05.07,12:00:00,3382.82,3385.17,3369.82,3370.08,6803,0,5,2025-05-07 12:00:00,3391.44
2025.05.07,13:00:00,3370.02,3393.46,3369.3,3391.44,8140,0,5,2025-05-07 13:00:00,3387.1
2025.05.07,14:00:00,3391.43,3391.62,3383.74,3387.1,6427,0,5,2025-05-07 14:00:00,3390.9
2025.05.07,15:00:00,3386.87,3393.88,3384.1,3390.9,9308,0,5,2025-05-07 15:00:00,3394.37
2025.05.07,16:00:00,3390.91,3398.0,3381.6,3394.37,12564,0,5,2025-05-07 16:00:00,3385.91
2025.05.07,17:00:00,3394.36,3394.82,3375.4,3385.91,11939,0,5,2025-05-07 17:00:00,3385.23
2025.05.07,18:00:00,3385.91,3389.58,3381.99,3385.23,8734,0,5,2025-05-07 18:00:00,3386.91
2025.05.07,19:00:00,3385.22,3389.8,3378.86,3386.91,6540,0,7,2025-05-07 19:00:00,3385.01
2025.05.07,20:00:00,3386.92,3389.73,3383.81,3385.01,6109,0,7,2025-05-07 20:00:00,3384.62
2025.05.07,21:00:00,3384.98,3397.94,3376.06,3384.62,12303,0,7,2025-05-07 21:00:00,3372.01
2025.05.07,22:00:00,3384.64,3386.89,3363.83,3372.01,10956,0,7,2025-05-07 22:00:00,3364.44
2025.05.07,23:00:00,3372.01,3374.62,3363.66,3364.44,4230,0,7,2025-05-07 23:00:00,3370.04
2025.05.08,01:00:00,3366.2,3373.68,3364.89,3370.04,3441,0,7,2025-05-08 01:00:00,3376.51
2025.05.08,02:00:00,3370.12,3377.2,3369.7,3376.51,2717,0,7,2025-05-08 02:00:00,3380.42
2025.05.08,03:00:00,3376.51,3387.02,3373.88,3380.42,6141,0,7,2025-05-08 03:00:00,3408.67
2025.05.08,04:00:00,3380.48,3409.77,3379.12,3408.67,10682,0,7,2025-05-08 04:00:00,3402.11
2025.05.08,05:00:00,3408.74,3414.79,3402.11,3402.11,9047,0,7,2025-05-08 05:00:00,3396.95
2025.05.08,06:00:00,3402.08,3408.46,3395.58,3396.95,6816,0,7,2025-05-08 06:00:00,3382.09
2025.05.08,07:00:00,3396.88,3399.3,3382.03,3382.09,6245,0,7,2025-05-08 07:00:00,3355.23
2025.05.08,08:00:00,3382.09,3384.28,3354.74,3355.23,9951,0,7,2025-05-08 08:00:00,3329.96
2025.05.08,09:00:00,3355.21,3361.89,3320.35,3329.96,13717,0,5,2025-05-08 09:00:00,3342.98
2025.05.08,10:00:00,3329.96,3349.29,3327.31,3342.98,9738,0,5,2025-05-08 10:00:00,3339.37
2025.05.08,11:00:00,3343.27,3344.22,3337.29,3339.37,6820,0,5,2025-05-08 11:00:00,3331.99
2025.05.08,12:00:00,3339.33,3344.38,3331.33,3331.99,7748,0,5,2025-05-08 12:00:00,3342.46
2025.05.08,13:00:00,3331.99,3346.71,3330.41,3342.46,8077,0,5,2025-05-08 13:00:00,3344.46
2025.05.08,14:00:00,3342.48,3345.53,3339.25,3344.46,5943,0,5,2025-05-08 14:00:00,3356.17
2025.05.08,15:00:00,3344.42,3358.58,3343.11,3356.17,10333,0,5,2025-05-08 15:00:00,3356.09
2025.05.08,16:00:00,3356.17,3369.59,3354.74,3356.09,12090,0,5,2025-05-08 16:00:00,3356.51
2025.05.08,17:00:00,3356.06,3362.9,3350.9,3356.51,11875,0,5,2025-05-08 17:00:00,3330.78
2025.05.08,18:00:00,3356.53,3360.06,3326.63,3330.78,12738,0,5,2025-05-08 18:00:00,3310.41
2025.05.08,19:00:00,3330.42,3330.42,3304.43,3310.41,12167,0,5,2025-05-08 19:00:00,3308.35
2025.05.08,20:00:00,3310.4,3311.22,3297.86,3308.35,10208,0,7,2025-05-08 20:00:00,3308.46
2025.05.08,21:00:00,3308.33,3311.0,3305.71,3308.46,6601,0,7,2025-05-08 21:00:00,3306.41
2025.05.08,22:00:00,3308.52,3310.02,3288.75,3306.41,8085,0,7,2025-05-08 22:00:00,3305.85
2025.05.08,23:00:00,3306.42,3310.87,3303.76,3305.85,3804,0,7,2025-05-08 23:00:00,3323.8
2025.05.09,01:00:00,3304.71,3324.0,3304.54,3323.8,4947,0,7,2025-05-09 01:00:00,3316.39
2025.05.09,02:00:00,3323.74,3323.96,3312.28,3316.39,3882,0,7,2025-05-09 02:00:00,3322.15
2025.05.09,03:00:00,3316.52,3323.03,3308.83,3322.15,6767,0,7,2025-05-09 03:00:00,3291.36
2025.05.09,04:00:00,3322.2,3322.43,3286.87,3291.36,11583,0,7,2025-05-09 04:00:00,3308.42
2025.05.09,05:00:00,3291.36,3308.59,3274.79,3308.42,11490,0,7,2025-05-09 05:00:00,3308.19
2025.05.09,06:00:00,3308.42,3313.52,3299.73,3308.19,7847,0,7,2025-05-09 06:00:00,3324.64
2025.05.09,07:00:00,3308.25,3327.45,3308.22,3324.64,5799,0,7,2025-05-09 07:00:00,3321.54
2025.05.09,08:00:00,3324.64,3330.32,3312.95,3321.54,7775,0,7,2025-05-09 08:00:00,3325.5
2025.05.09,09:00:00,3321.56,3326.82,3315.42,3325.5,8632,0,5,2025-05-09 09:00:00,3327.24
2025.05.09,10:00:00,3325.5,3332.28,3322.5,3327.24,9072,0,5,2025-05-09 10:00:00,3328.57
